页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905321522792023,月牙儿的2023,2023-05-25 16:27:30,#国泰航空称网传英文内部信件为伪造#  既然是伪造的，有落款有时间的，干嘛不在香港报警，却到简中微博上辟谣？被人伪造写这封信的吴姓高管不仅不报警还把自己领英账户都删了，搞神隐啊。这是故意要搅浑水吗？ ,0,0,0,上海,上海,上海,中国
2,4905312778196077,堯偂澍,2023-05-25 15:52:45,看看国泰航空职员的英文水平有多高！短短两句英文，已经有四处错，水平真有万米高空那么高👏👏@国泰航空  #国泰航空称网传英文内部信件为伪造# ,2,19,87,广东,,广东,中国
2,4905317832071167,马上谈,2023-05-25 16:12:50,#国泰航空称网传英文内部信件为伪造# 一会儿工会撑空姐，一会儿辟英文信件的谣，难道这些也是假的吗？ ,5,5,34,浙江,绍兴,浙江,中国
2,4905293215696570,半月谈,2023-05-25 14:35:01,【#国泰航空称网传英文内部信件为伪造#】#国泰航空#声明：我们留意到网络上流传有关国泰航空航空服务董事发出的一则英文内部信件，相关信息为伪造，并不属实。我们不希望这些虚假信息混淆视听，并保留一切追究法律责任的权利。 半月谈的微博视频 ,6,16,421,,北京,北京,中国
2,4905293961495292,拆台CT,2023-05-25 14:37:59,#国泰航空称网传英文内部信件为伪造#  什么粉圈辟谣……  这玩意从哪媒体来的。  不起诉媒体，只保留追究法律责任的权利，有个屁用。   ,6,19,219,天津,天津,天津,中国
2,4905320261094247,上帝之鹰_5zn,2023-05-25 16:22:29,#国泰航空称网传英文内部信件为伪造##国泰航空称空中服务员工会不代表国泰#  网红林作出来蹭热度，嘲讽那个挑衅网友的国泰空姐英文水平太差 ,4,6,40,福建,福州,福建,中国
2,4905320188741104,种花家的千年兔叟,2023-05-25 16:22:12,#国泰航空称网传英文内部信件为伪造#  西方文化中心论已经破产，该是中华文化反击的时刻啦!  小跪族又在搞事!   ,0,0,1,北京,北京,北京,中国
2,4905319262061055,博尔济吉特大猫,2023-05-25 16:18:31,#国泰航空称网传英文内部信件为伪造#这家据说内地业务占到70%的航司，如果这次之后还活蹦乱跳，我们都有责任 ,0,0,7,湖北,武汉,湖北,中国
2,4905318746952742,逃跑进行中,2023-05-25 16:16:28,#国泰航空称网传英文内部信件为伪造#问心无愧就直接报警啊，查个水落石出看谁在造谣分裂民族团结 ,0,0,0,广东,深圳,广东,中国
2,4905318456496207,MM微易,2023-05-25 16:15:19,#国泰航空称网传英文内部信件为伪造# 这事都上热搜了，国泰工会这都不停飞吗?赶紧罢工个十年八年的以示骨气! ,0,0,0,江苏,南京,江苏,中国
3,4905317210527824,猕猴桃吃了猕猴,2023-05-25 16:10:22,#国泰航空称网传英文内部信件为伪造# 真不真的不知道，不过，身为一个总部在香港的亚洲航司，能做到“相对公平”地歧视所有亚洲人，也不得不说很厉害。看见亚洲各国和谐地诉说自己被国泰歧视的经历，就忍不住想笑hhhhhh ,0,0,0,北京,北京,北京,中国
3,4905317027284525,电影拆台君,2023-05-25 16:09:38,#国泰6年前被曝员工拒绝使用中文名名牌##国泰航空称网传英文内部信件为伪造# 国泰航空乘务员歧视非英语乘客，央视2019年曾评论：No Zuo No Die！ 电影拆台君的微博视频 ,1,0,3,河北,衡水,河北,中国
3,4905301432077616,盖世英雄玉椒龙,2023-05-25 15:07:40,#国泰航空称网传英文内部信件为伪造#  有博主对这个声明进行了质疑，大家怎么看？ 如果是假的，吴女士应该报警了。不如说是竞争对手干的。 ,12,20,180,山东,东营,山东,中国
3,4905296046327245,喵斯拉大王二号机,2023-05-25 14:46:16,#国泰航空称网传英文内部信件为伪造#  综合现有的情况来看，国泰内部的企业文化甚至不是简单的种族歧视，  他们对说普通话的英联邦国家人士一样排斥歧视，  我认为这说明她们从内心深处仇恨中华文化，仇恨中国！ ,10,14,145,上海,,上海,中国
3,4905299959612756,如皋老猫,2023-05-25 15:01:48,#国泰航空称网传英文内部信件为伪造# 不知道国泰会不会说这事也是虚构的？,3,1,19,江苏,南通,江苏,中国
